X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
267,20,1-2 days,2.5,Male,35-44,93111,No,Live in area,$1 - $20,$1 - $20,$100-$199,$1 - $20,$200-$499,$50-$99,$100-$199,$50-$99,$50-$99,$50-$99,Resident,Boulder Resident,NA
222,45,12,3,Female,65-74,80309,No,-,$50-$99,$21-$49,0,$21-$49,$100-$199,$1 - $20,0,$1 - $20,$20-$49,0,Three nights,NA,NA
267,20,1-2 days,2.5,Male,35-44,93111,No,Live in area,$1 - $20,$1 - $20,$100-$199,$1 - $20,$200-$499,$50-$99,$100-$199,$50-$99,$50-$99,$50-$99,Resident,Boulder Resident,NA
173,1-2 times,3-4 days,3,Female,25-34,80303,NA,0,$21-$49,0,$21-$49,$21-$49,0,"$5,000.00",NA,$20-$49,$20-$49,$20-$49,Live in Boulder,"Friends, family or no expense",280
260,20,3-4 days,20,Male,35-44,93111,No,1 day,$200-$499,NA,NA,0,$200-$499,$21-$49,$200-$499,$100-$199,$50-$99,$50-$99,Four nights,"Friends, family or no expense",NA
60,20,1-2 days,2,Male,55-64,80309,No,Zero,$1 - $20,0,0,0,0,$50-$99,$1 - $20,$20-$49,$200-$499,$500-$999,One night,Home,0
57,20,0,0,Male,25-34,80306,NA,Home is here,$1 - $20,0,0,0,0,0,$20-$49,$1 - $20,$20-$49,NA,Local resident,Home,NA
67,20,3-4 days,2,Male,55-64,80306,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,$21-$49,0,0,0,$20-$49,NA,$100-$199,$1 - $20,Four nights,"Friends, family or no expense",175
101,20,1-2 days,1,Female,45-54,80304,No,Didn't extend stay,$100-$199,$21-$49,0,$1 - $20,0,$1 - $20,$20-$49,0,$200-$499,$500-$999,Live in Boulder,NA,175
105,20,3-4 days,2,Male,65-74,80309,NA,1 day,$100-$199,"$2,000-$3,000",$50-$99,$1 - $20,$21-$49,"$3,000-$4,000",$20-$49,0,0,$20-$49,Resident,"Friends, family or no expense",200
190,5-6 times,3-4 days,3,Female,25-34,80303,No,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$1 - $20,$20-$49,$200-$499,Live in Boulder,Home,175
56,20,1-2 days,2,Female,55-64,93111,No,Live in area,$1 - $20,0,0,0,0,$50-$99,$100-$199,NA,0,$50-$99,Local,Boulder Resident,125
73,20,5-6 days,5,Female,65-74,80306,No,NA,$1 - $20,$500-$999,$1 - $20,$1 - $20,$200-$499,$50-$99,"$2,000-$4,999",$50-$99,NA,$1 - $20,Local,"Friends, family or no expense",500
107,20,3-4 days,4,Female,55-64,80303,Yes,Live in area,$100-$199,$100-$199,$200-$499,$21-$49,$100-$199,$21-$49,$200-$499,$100-$199,$1 - $20,$1 - $20,Local resident,Home,500
135,1-2 times,1-2 days,4,Male,18-24,80306,Yes,0,$200-$499,0,$200-$499,$21-$49,0,0,0,$50-$99,$100-$199,$200-$499,Resident,Boulder Resident,240
137,NA,4,8,Female,55-64,80305,No,Didn't extend stay,$200-$499,$200-$499,$100-$199,$100-$199,$200-$499,0,0,$500-$999,$50-$99,0,I live here,Home,0
152,20,1-2 days,2.5,Female,25-34,80304,No,2 days,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,"$2,000-$4,999",0,$20-$49,$200-$499,Live in Boulder,"Friends, family or no expense",280
35,1-2 times,0,0,Female,Prefer not to say,80304,Yes,Didn't extend stay,0,0,0,0,0,0,$100-$199,0,$200-$499,$1 - $20,Three nights,"Friends, family or no expense",NA
175,1-2 times,7-8 days,3,Male,35-44,93437,NA,0,$21-$49,0,$50-$99,$21-$49,0,0,0,$1 - $20,$500-$999,NA,NA,"Friends, family or no expense",500
256,20,3-4 days,3,Female,45-54,80305,NA,Zero,0,0,$500-$999,$100-$199,$21-$49,$100-$199,$50-$99,0,$20-$49,$20-$49,Day trip,Home,200
188,5-6 times,1-2 days,3,Female,35-44,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$1 - $20,0,0,$1 - $20,$100-$199,$200-$499,$20-$49,Day trip,"Friends, family or no expense",N/A
171,1-2 times,1-2 days,4,Male,18-24,80304,No,Zero,$21-$49,0,0,$1 - $20,$100-$199,$21-$49,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Live in Boulder,NA,500
122,20,5-6 days,3,Male,65-74,80309,Yes,A few hours,$200-$499,$21-$49,$1 - $20,0,$50-$99,$21-$49,"$2,000-$4,999",$50-$99,$1 - $20,0,Two nights,"Friends, family or no expense",280
273,20,3-4 days,6,Male,25-34,80305,Yes,0,"$1,000.00",0,$100-$199,$21-$49,$50-$99,$500-$999,$100-$199,$20-$49,$50-$99,$50-$99,Resident,Boulder Resident,240
17,20,0,0,Female,65-74,80309,No,NA,0,0,0,0,0,0,$200-$499,$200-$499,$500-$999,0,Resident,Hotel or motel,175
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
259,20,3-4 days,3,Male,35-44,80305,Yes,-,$100-$199,"$1,000-$1,499",$50-$99,$200-$499,$1 - $20,NA,$20-$49,NA,0,NA,Day trip,Boulder Resident,0
179,3-4 times,3-4 days,4,Female,65-74,80309,NA,1 day,$21-$49,0,0,$21-$49,$200-$499,$21-$49,$50-$99,$500-$999,$20-$49,$20-$49,One night,Hotel or motel,240
80,1-2 times,3-4 days,2,Male,65-74,80309,Yes,Zero,$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$500-$999,$200-$499,$200-$499,$1 - $20,$50-$99,Local resident,Hotel or motel,500
48,5-6 times,0,0,Male,55-64,80306,NA,Live in area,0,0,0,0,0,0,$20-$49,$50-$99,0,$200-$499,One night,Hotel or motel,240
178,3-4 times,3-4 days,2,Female,25-34,80304,Yes,NA,$21-$49,0,0,$1 - $20,$200-$499,$21-$49,NA,0,$500-$999,$500-$999,Local,Home,NA
20,20,0,0,Female,25-34,80303,Yes,Zero,0,0,0,$1 - $20,0,0,"$1,000-$1,999",0,$50-$99,$20-$49,Three nights,"Friends, family or no expense",0
64,20,1-2 days,5,Female,75-84,80303,No,Live in area,$1 - $20,0,$1 - $20,0,0,0,"$1,000-$1,999",$500-$999,0,$50-$99,Two nights,"Friends, family or no expense",280
293,29,0,2,Male,55-64,80303,Yes,Home is here,0,$500-$999,$500-$999,$50-$99,$500-$999,$500-$999,"$1,000-$1,999",$50-$99,$200-$499,$200-$499,Resident,Home,NA
131,20,3-4 days,3,Male,45-54,80303,NA,2 days,$200-$499,"$1,000-$1,499",$21-$49,$50-$99,$1 - $20,$200-$499,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Three nights,"Friends, family or no expense",500
153,20,5-6 days,4,Female,35-44,80306,No,Didn't extend stay,$21-$49,$21-$49,$1 - $20,$1 - $20,"$1,000-$1,499",$1 - $20,"$2,000-$4,999",0,$200-$499,$50-$99,Resident,Home,125
30,1-2 times,0,0,Male,65-74,80303,No,1 day,0,0,0,0,0,0,$100-$199,$20-$49,0,NA,Two nights,NA,200
122,20,5-6 days,3,Male,65-74,80309,Yes,A few hours,$200-$499,$21-$49,$1 - $20,0,$50-$99,$21-$49,"$2,000-$4,999",$50-$99,$1 - $20,0,Two nights,"Friends, family or no expense",280
54,4,10,5,Female,45-54,80309,Yes,I live here,"$1,000.00",$100-$199,$500-$999,$50-$99,"$1,000-$1,499","$5,000.00",$1 - $20,$20-$49,$1 - $20,$50-$99,I live here,Hotel or motel,500
103,20,1-2 days,5,Female,35-44,80303,NA,NA,$100-$199,0,$21-$49,$1 - $20,$200-$499,"$5,000.00","$2,000-$4,999",$100-$199,$200-$499,$50-$99,Four nights,NA,175
199,20,1-2 days,2,Male,55-64,93013,No,2 days,$50-$99,$500-$999,$21-$49,$100-$199,$21-$49,$1 - $20,$100-$199,NA,0,0,NA,Home,500
40,40,0,0,Male,45-54,80306,No,2 days,0,0,0,0,0,0,"$1,000-$1,999",NA,$100-$199,$1 - $20,Live in Boulder,Home,280
227,3-4 times,1-2 days,4,Male,25-34,80303,NA,Home is here,$50-$99,$50-$99,0,$1 - $20,0,$200-$499,$100-$199,$1 - $20,$100-$199,$50-$99,Day trip,Boulder Resident,125
138,1,3-4 days,4,Female,45-54,80303,No,NA,$21-$49,$1 - $20,0,0,0,$1 - $20,"$2,000-$4,999",0,$100-$199,$500-$999,Multiple day trips,"Friends, family or no expense",240
61,20,0,2,Female,75-84,80309,No,Live in area,$1 - $20,0,0,0,$21-$49,$100-$199,NA,$20-$49,NA,$20-$49,Local,Hotel or motel,NA
286,5-6 times,1-2 days,4,Female,25-34,93013,NA,Zero,$500-$999,$200-$499,$100-$199,0,$21-$49,$200-$499,$50-$99,$1 - $20,$1 - $20,$1 - $20,Day trip,Boulder Resident,280
266,20,3-4 days,3,Male,35-44,93013,Yes,Home is here,$200-$499,"$1,000-$1,499",$500-$999,NA,$100-$199,$500-$999,$50-$99,$100-$199,$20-$49,0,Multiple day trips,Home,0
191,5-6 times,1-2 days,4,Female,35-44,80309,Yes,Zero,$21-$49,$200-$499,$1 - $20,$1 - $20,$50-$99,$200-$499,"$2,000-$4,999",0,$500-$999,$200-$499,NA,Boulder Resident,0
57,20,0,0,Male,25-34,80306,NA,Home is here,$1 - $20,0,0,0,0,0,$20-$49,$1 - $20,$20-$49,NA,Local resident,Home,NA
267,20,1-2 days,2.5,Male,35-44,93111,No,Live in area,$1 - $20,$1 - $20,$100-$199,$1 - $20,$200-$499,$50-$99,$100-$199,$50-$99,$50-$99,$50-$99,Resident,Boulder Resident,NA
131,20,3-4 days,3,Male,45-54,80303,NA,2 days,$200-$499,"$1,000-$1,499",$21-$49,$50-$99,$1 - $20,$200-$499,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Three nights,"Friends, family or no expense",500
199,20,1-2 days,2,Male,55-64,93013,No,2 days,$50-$99,$500-$999,$21-$49,$100-$199,$21-$49,$1 - $20,$100-$199,NA,0,0,NA,Home,500
259,20,3-4 days,3,Male,35-44,80305,Yes,-,$100-$199,"$1,000-$1,499",$50-$99,$200-$499,$1 - $20,NA,$20-$49,NA,0,NA,Day trip,Boulder Resident,0
58,20,1-2 days,1,Male,45-54,80309,No,2 days,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$200-$499,$200-$499,Four nights,Home,200
184,5-6 times,1-2 days,4,Female,25-34,80302,No,1 day,$21-$49,NA,$21-$49,$21-$49,$500-$999,$100-$199,0,0,$20-$49,$20-$49,Live in Boulder,NA,NA
198,1,1-2 days,4,Male,35-44,93454,NA,2 days,$50-$99,0,$21-$49,$21-$49,0,0,$1 - $20,0,$100-$199,$200-$499,Live in Boulder,NA,240
213,20,3-4 days,5,Female,55-64,93108,NA,NA,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,0,$50-$99,$200-$499,$200-$499,Live in Boulder,"Friends, family or no expense",500
72,20,5-6 days,6,Male,65-74,80304,NA,2 days,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$200-$499,$500-$999,$50-$99,$50-$99,$1 - $20,$20-$49,I live here,Boulder Resident,0
24,1-2 times,0,0,Female,35-44,80303,No,1 day,0,0,0,0,0,0,$50-$99,$100-$199,$20-$49,$20-$49,Local,NA,N/A
171,1-2 times,1-2 days,4,Male,18-24,80304,No,Zero,$21-$49,0,0,$1 - $20,$100-$199,$21-$49,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Live in Boulder,NA,500
268,20,3-4 days,4,Female,35-44,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,"$1,000-$1,499","$1,000-$1,499",$21-$49,$1 - $20,$1 - $20,$50-$99,$50-$99,$20-$49,$20-$49,Two nights,"Friends, family or no expense",240
31,1-2 times,0,0,Female,65-74,80309,NA,0,0,0,0,0,0,0,$100-$199,$20-$49,$20-$49,$1 - $20,Multiple day trips,Home,200
223,1-2 times,1-2 days,5,Female,65-74,93113,No,A few hours,$50-$99,0,$1 - $20,0,0,$21-$49,"$2,000-$4,999",$200-$499,0,$1 - $20,Local,Hotel or motel,200
276,20,1-2 days,6,Male,55-64,80305,Yes,2 days,"$1,000.00",NA,$50-$99,0,"$1,000-$1,499",$500-$999,$100-$199,$20-$49,$50-$99,NA,Day trip,NA,500
123,20,3-4 days,5,Female,25-34,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$200-$499,$100-$199,$1 - $20,$21-$49,$1 - $20,0,$100-$199,NA,$100-$199,0,Live in Boulder,Hotel or motel,280
178,3-4 times,3-4 days,2,Female,25-34,80304,Yes,NA,$21-$49,0,0,$1 - $20,$200-$499,$21-$49,NA,0,$500-$999,$500-$999,Local,Home,NA
125,20,7-8 days,3,Female,35-44,80309,No,NA,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$20-$49,NA,$500-$999,$50-$99,One night,"Friends, family or no expense",NA
235,5-6 times,1-2 days,8,Male,35-44,80309,Yes,Didn't extend stay,$50-$99,0,$50-$99,$1 - $20,$21-$49,0,"$1,000-$1,999",$50-$99,$50-$99,$1 - $20,Live in Boulder,Home,0
24,1-2 times,0,0,Female,35-44,80303,No,1 day,0,0,0,0,0,0,$50-$99,$100-$199,$20-$49,$20-$49,Local,NA,N/A
146,20,1-2 days,5,Female,45-54,80303,Yes,A few hours,$21-$49,0,0,0,0,0,$20-$49,$1 - $20,$1 - $20,$200-$499,Local,Hotel or motel,175
223,1-2 times,1-2 days,5,Female,65-74,93113,No,A few hours,$50-$99,0,$1 - $20,0,0,$21-$49,"$2,000-$4,999",$200-$499,0,$1 - $20,Local,Hotel or motel,200
78,1-2 times,3-4 days,4,Male,55-64,80304,NA,Home is here,$1 - $20,0,0,0,0,0,NA,NA,$500-$999,$200-$499,Resident,Boulder Resident,NA
263,20,1-2 days,2,Female,35-44,80305,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$1 - $20,$200-$499,"$2,000-$3,000","$1,000-$1,499",0,$20-$49,0,$50-$99,0,Live in Boulder,Home,0
153,20,5-6 days,4,Female,35-44,80306,No,Didn't extend stay,$21-$49,$21-$49,$1 - $20,$1 - $20,"$1,000-$1,499",$1 - $20,"$2,000-$4,999",0,$200-$499,$50-$99,Resident,Home,125
79,1-2 times,1-2 days,0.5,Male,18-24,80306,No,Live in area,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$50-$99,$1 - $20,$100-$199,$50-$99,Multiple day trips,NA,200
2,1,7-8 days,4,Prefer not to say,35-44,80309,NA,-,0,0,0,0,0,0,$100-$199,$100-$199,$1 - $20,$50-$99,Three nights,Home,125
193,5-6 times,5-6 days,1,Male,55-64,80306,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$1 - $20,$1 - $20,$21-$49,$1 - $20,$50-$99,$50-$99,0,$1 - $20,$500-$999,Resident,NA,280
133,35,3-4 days,5,Female,35-44,80303,No,NA,$200-$499,"$2,000-$3,000",$50-$99,$1 - $20,$500-$999,$500-$999,$20-$49,0,$1 - $20,$500-$999,Live in Boulder,NA,280
156,20,1-2 days,4,Female,35-44,80309,Yes,1 day,$21-$49,$200-$499,NA,$1 - $20,$200-$499,$200-$499,$20-$49,$50-$99,$500-$999,$50-$99,Three nights,Boulder Resident,125
133,35,3-4 days,5,Female,35-44,80303,No,NA,$200-$499,"$2,000-$3,000",$50-$99,$1 - $20,$500-$999,$500-$999,$20-$49,0,$1 - $20,$500-$999,Live in Boulder,NA,280
189,5-6 times,1-2 days,0.5,Female,55-64,93108,Yes,Live in area,$21-$49,0,0,$1 - $20,0,$50-$99,$20-$49,$50-$99,$1 - $20,$50-$99,Local resident,Home,200
6,20,1-2 days,1,Male,45-54,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$200-$499,$100-$199,$100-$199,$50-$99,Four nights,Boulder Resident,125
44,5-6 times,0,0,Male,35-44,80303,No,1 day,0,0,0,0,0,0,$100-$199,$50-$99,$50-$99,$50-$99,Day trip,Home,240
182,3-4 times,1-2 days,4,Female,45-54,80304,No,A few hours,$21-$49,$50-$99,"$1,000.00",$50-$99,$1 - $20,"$5,000.00",$200-$499,$50-$99,$50-$99,$500-$999,Multiple day trips,Boulder Resident,0
195,5-6 times,3-4 days,5,Male,18-24,80306,Yes,Home is here,$21-$49,$50-$99,$21-$49,$50-$99,$21-$49,$50-$99,NA,$50-$99,$500-$999,0,Resident,Boulder Resident,200
253,20,1-2 days,2,Male,25-34,93107,NA,1 day,0,$1 - $20,"$1,000-$1,499",$1 - $20,0,$50-$99,$1 - $20,0,$1 - $20,0,Day trip,Boulder Resident,3
274,20,3-4 days,6,Female,55-64,80306,No,Home is here,NA,$1 - $20,$1 - $20,$100-$199,"$1,000-$1,499",$100-$199,$100-$199,NA,$200-$499,$1 - $20,One night,NA,0
46,5-6 times,0,3,Female,45-54,80309,NA,0,0,0,0,0,0,0,$1 - $20,$1 - $20,$20-$49,$50-$99,Day trip,NA,3
115,3-4 times,1-2 days,3,Female,25-34,80303,Yes,2 days,$100-$199,0,0,$1 - $20,0,0,$100-$199,$500-$999,$200-$499,$200-$499,Four nights,"Friends, family or no expense",0
28,1-2 times,0,0,Female,55-64,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,$200-$499,$100-$199,0,$20-$49,Two nights,Hotel or motel,240
292,5-6 times,0,1,Prefer not to say,18-24,91335,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,$50-$99,$100-$199,"$2,000-$3,000",$500-$999,NA,$100-$199,$100-$199,$20-$49,0,Two nights,Boulder Resident,280
44,5-6 times,0,0,Male,35-44,80303,No,1 day,0,0,0,0,0,0,$100-$199,$50-$99,$50-$99,$50-$99,Day trip,Home,240
235,5-6 times,1-2 days,8,Male,35-44,80309,Yes,Didn't extend stay,$50-$99,0,$50-$99,$1 - $20,$21-$49,0,"$1,000-$1,999",$50-$99,$50-$99,$1 - $20,Live in Boulder,Home,0
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,Live in area,"$1,000.00",$500-$999,$21-$49,$100-$199,$100-$199,NA,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",240
154,20,3-4 days,2,Female,75-84,80304,Yes,2 days,$21-$49,0,$100-$199,$1 - $20,0,0,NA,0,0,NA,Day trip,"Friends, family or no expense",125
64,20,1-2 days,5,Female,75-84,80303,No,Live in area,$1 - $20,0,$1 - $20,0,0,0,"$1,000-$1,999",$500-$999,0,$50-$99,Two nights,"Friends, family or no expense",280
42,5-6 times,0,0.5,Male,25-34,80309,No,Home is here,0,0,0,0,0,0,$20-$49,$20-$49,$100-$199,$1 - $20,Multiple day trips,Boulder Resident,200
9,20,1-2 days,2,Male,35-44,80309,No,1 day,0,0,0,0,0,0,$100-$199,$200-$499,$20-$49,$1 - $20,I live here,NA,3
153,20,5-6 days,4,Female,35-44,80306,No,Didn't extend stay,$21-$49,$21-$49,$1 - $20,$1 - $20,"$1,000-$1,499",$1 - $20,"$2,000-$4,999",0,$200-$499,$50-$99,Resident,Home,125
113,1-2 times,1-2 days,NA,Female,45-54,80303,NA,2 days,$100-$199,0,$21-$49,0,0,$1 - $20,"$2,000-$4,999",NA,$200-$499,$500-$999,Live in Boulder,Hotel or motel,3
33,1-2 times,0,3,Female,65-74,80309,Yes,-,0,0,0,0,0,"$3,000-$4,000",$100-$199,$200-$499,NA,$1 - $20,Multiple day trips,"Friends, family or no expense",NA
281,1-2 times,3-4 days,4,Male,18-24,93107,Yes,-,$200-$499,$100-$199,"$1,000-$1,499",$1 - $20,$100-$199,$21-$49,$1 - $20,0,0,0,Resident,Home,0
110,20,5-6 days,3,Female,55-64,80304,Yes,A few hours,$100-$199,$200-$499,$21-$49,NA,$50-$99,"$5,000.00",$1 - $20,$100-$199,$1 - $20,$500-$999,Local,NA,N/A
32,1-2 times,0,0,Female,65-74,80303,No,1 day,0,0,0,0,0,0,$1 - $20,$50-$99,$20-$49,0,I live here,Home,175
40,40,0,0,Male,45-54,80306,No,2 days,0,0,0,0,0,0,"$1,000-$1,999",NA,$100-$199,$1 - $20,Live in Boulder,Home,280
112,56,20,4,Female,55-64,93111,No,Didn't extend stay,$100-$199,$200-$499,$200-$499,$100-$199,$200-$499,"$5,000.00",$1 - $20,$20-$49,NA,$50-$99,Local resident,Hotel or motel,175
95,5-6 times,1-2 days,3,Female,55-64,80303,No,2 days,$1 - $20,0,0,0,0,0,$200-$499,0,NA,$50-$99,Live in Boulder,"Friends, family or no expense",NA
190,5-6 times,3-4 days,3,Female,25-34,80303,No,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$1 - $20,$20-$49,$200-$499,Live in Boulder,Home,175
218,20,5-6 days,5,Female,25-34,80303,Yes,2 days,$50-$99,$50-$99,$21-$49,$21-$49,0,$21-$49,"$2,000-$4,999",$50-$99,$200-$499,$20-$49,Local resident,Boulder Resident,0
288,5-6 times,1-2 days,5,Male,45-54,90245,No,Didn't extend stay,$1 - $20,$100-$199,$50-$99,$21-$49,$1 - $20,NA,$50-$99,$50-$99,$100-$199,$200-$499,One night,Hotel or motel,280
44,5-6 times,0,0,Male,35-44,80303,No,1 day,0,0,0,0,0,0,$100-$199,$50-$99,$50-$99,$50-$99,Day trip,Home,240
150,20,1-2 days,3,Female,65-74,80302,No,Home is here,$21-$49,0,0,$1 - $20,0,$21-$49,0,NA,$50-$99,0,Four nights,NA,200
214,20,3-4 days,6,Female,25-34,80306,Yes,I live here,$50-$99,$100-$199,$1 - $20,$21-$49,NA,"$3,000-$4,000",$20-$49,$50-$99,NA,$50-$99,NA,Home,N/A
279,1-2 times,1-2 days,4,Female,45-54,93111,No,I live here,NA,$21-$49,$500-$999,$500-$999,$500-$999,$100-$199,NA,$1 - $20,$1 - $20,$20-$49,Four nights,Boulder Resident,125
149,20,1-2 days,2,Female,35-44,80303,Yes,NA,$21-$49,0,$21-$49,0,0,0,$1 - $20,$1 - $20,NA,$1 - $20,I live here,Boulder Resident,500
70,20,5-6 days,3,Female,18-24,80309,No,Zero,$1 - $20,0,$1 - $20,$1 - $20,0,0,$20-$49,$200-$499,$200-$499,$20-$49,Local resident,Boulder Resident,240
262,20,5-6 days,5,Male,35-44,80305,NA,I live here,$200-$499,$50-$99,NA,"$2,000-$3,000",0,$1 - $20,$50-$99,$50-$99,$50-$99,$20-$49,I live here,Home,N/A
132,20,7-8 days,9,Female,55-64,80309,Yes,2 days,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$50-$99,$100-$199,$20-$49,$500-$999,Three nights,Home,0
283,1-2 times,1-2 days,6,Male,35-44,91792,Yes,Zero,$1 - $20,0,"$1,000-$1,499",0,"$1,000-$1,499","$5,000.00",$100-$199,NA,$1 - $20,$200-$499,Two nights,Home,175
288,5-6 times,1-2 days,5,Male,45-54,90245,No,Didn't extend stay,$1 - $20,$100-$199,$50-$99,$21-$49,$1 - $20,NA,$50-$99,$50-$99,$100-$199,$200-$499,One night,Hotel or motel,280
100,20,3-4 days,2,Female,45-54,80306,NA,0,$100-$199,0,0,$1 - $20,0,0,NA,$200-$499,$1 - $20,$200-$499,Day trip,NA,3
207,20,3-4 days,2,Female,65-74,80309,No,Zero,$50-$99,0,$21-$49,$1 - $20,0,0,$50-$99,$200-$499,$1 - $20,$200-$499,Three nights,Hotel or motel,280
5,7,3-4 days,2,Female,45-54,80304,Yes,Didn't extend stay,0,0,0,$1 - $20,0,0,$100-$199,0,$500-$999,$50-$99,Multiple day trips,Hotel or motel,0
210,20,3-4 days,3,Female,25-34,80306,NA,Zero,$50-$99,$1 - $20,0,$21-$49,$1 - $20,0,0,NA,NA,0,Four nights,Hotel or motel,240
81,1-2 times,3-4 days,10,Female,35-44,80304,Yes,A few hours,$1 - $20,$1 - $20,$1 - $20,$100-$199,$21-$49,$200-$499,$50-$99,$500-$999,$200-$499,$50-$99,NA,Home,125
236,5-6 times,3-4 days,5,Male,45-54,80303,NA,NA,$50-$99,$500-$999,$100-$199,$200-$499,$500-$999,$50-$99,"$2,000-$4,999",$20-$49,$1 - $20,$200-$499,Local,Home,240
159,20,3-4 days,4,Female,55-64,93111,Yes,Didn't extend stay,$21-$49,0,0,$21-$49,0,0,0,$100-$199,$200-$499,$200-$499,Day trip,NA,240
245,1,1-2 days,2,Male,45-54,91320,Yes,A few hours,$200-$499,$1 - $20,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$50-$99,One night,Hotel or motel,125
83,3-4 times,1-2 days,3,Female,35-44,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,0,0,$1 - $20,$20-$49,$500-$999,$100-$199,NA,Multiple day trips,"Friends, family or no expense",280
200,20,1-2 days,4,Female,55-64,93003,Yes,A few hours,$50-$99,0,$1 - $20,$21-$49,0,0,$100-$199,$50-$99,$50-$99,$500-$999,Day trip,Boulder Resident,175
88,3-4 times,3-4 days,3,Female,25-34,80303,Yes,I live here,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$3,000-$4,000",NA,$200-$499,$1 - $20,$50-$99,Four nights,Home,280
215,20,5-6 days,8,Female,25-34,80303,No,2 days,$50-$99,$50-$99,$1 - $20,$21-$49,$100-$199,0,"$2,000-$4,999",0,0,$20-$49,I live here,Home,280
257,20,3-4 days,5,Female,18-24,93013,No,0,$200-$499,$200-$499,$200-$499,$100-$199,$100-$199,"$5,000.00",$20-$49,$200-$499,$100-$199,$50-$99,Day trip,Boulder Resident,125
41,5-6 times,1-2 days,2,Female,45-54,96161,No,A few hours,0,0,0,0,0,$1 - $20,"$2,000-$4,999",$20-$49,$100-$199,$200-$499,I live here,Hotel or motel,240
5,7,3-4 days,2,Female,45-54,80304,Yes,Didn't extend stay,0,0,0,$1 - $20,0,0,$100-$199,0,$500-$999,$50-$99,Multiple day trips,Hotel or motel,0
90,5-6 times,3-4 days,2,Female,45-54,93111,Yes,Home is here,$1 - $20,0,$1 - $20,0,$1 - $20,0,$1 - $20,0,$1 - $20,0,Local,Home,0
180,3-4 times,3-4 days,4,Female,25-34,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$50-$99,0,$21-$49,$1 - $20,0,"$1,000-$1,999",0,NA,NA,Live in Boulder,Boulder Resident,N/A
78,1-2 times,3-4 days,4,Male,55-64,80304,NA,Home is here,$1 - $20,0,0,0,0,0,NA,NA,$500-$999,$200-$499,Resident,Boulder Resident,NA
83,3-4 times,1-2 days,3,Female,35-44,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,0,0,$1 - $20,$20-$49,$500-$999,$100-$199,NA,Multiple day trips,"Friends, family or no expense",280
95,5-6 times,1-2 days,3,Female,55-64,80303,No,2 days,$1 - $20,0,0,0,0,0,$200-$499,0,NA,$50-$99,Live in Boulder,"Friends, family or no expense",NA
216,20,5-6 days,5,Female,45-54,80303,No,Home is here,$50-$99,$100-$199,$100-$199,$21-$49,0,$500-$999,$100-$199,$500-$999,$50-$99,NA,One night,Home,3
1,0,0,8,Male,55-64,80309,NA,I live here,0,0,0,0,0,0,0,$1 - $20,$200-$499,$500-$999,One night,Home,NA
